-0.131,1.699,-0.026,0.365,-0.246,0.478,0.435,3
0.305,0.146,-0.129,-0.444,-0.707,-1.499,-1.935,2
0.157,0.175,0.467,-0.379,-0.52,-1.279,-2.125,2
0.246,0.796,0.384,0.981,1.02,1.646,1.157,4
-0.235,0.487,-0.184,-0.669,-1.006,2.369,2.611,0
-0.532,0.028,-0.333,-0.102,1.172,2.087,0.992,4
-0.003,0.522,0.347,0.806,0.756,1.949,1.065,4
0.395,0.536,0.422,0.113,-0.226,-1.681,-1.857,2
-0.665,-0.724,0.419,0.505,0.499,1.53,1.755,0
-0.619,-1.682,-0.043,-0.37,-0.767,0.75,0.903,1
-0.538,-0.316,0.39,0.781,0.389,1.649,1.498,0
-0.111,0.933,-0.702,0.124,0.177,1.929,1.806,0
0.224,0.274,-0.002,-0.211,-0.76,-1.524,-2.145,2
0.049,0.105,0.65,1.31,0.917,2.401,1.715,4
0.044,0.624,0.305,1.246,1.911,3.802,3.313,5
0.123,0.235,0.174,-0.257,-0.699,-1.551,-1.801,2
-0.923,0.187,0.271,-0.19,-1.767,1.135,0.518,1
0.066,-0.071,-0.018,0.866,1.106,2.585,2.411,5
-0.356,-0.409,0.395,1.289,1.259,3.01,1.914,5
-0.738,-0.18,0.387,0.371,0.181,3.148,1.985,0
-0.13,0.394,0.063,-0.045,-0.198,1.849,1.321,0
-0.358,0.138,1.14,0.813,0.121,2.018,1.495,4
0.245,-0.132,0.055,-0.558,-0.696,-1.31,-1.667,2
-1.019,-2.438,-0.128,-0.19,-0.565,0.569,-0.096,1
-0.231,-1.676,0.364,0.394,-0.032,0.856,0.585,1
-0.818,-2.561,0.264,-0.196,-1.032,0.744,0.453,1
-0.369,-1.645,0.564,0.352,0.024,1.156,0.94,1
-0.116,1.72,0.361,0.082,0.257,0.412,1.946,0
-0.317,-0.198,-0.19,0.24,0.136,1.754,1.465,0
0.126,0.105,0.086,0.557,0.784,1.838,1.613,4
0.258,0.131,-0.214,-0.156,-0.263,-1.708,-1.657,2
0.029,-0.203,-0.16,0.719,0.852,2.062,1.082,4
0.109,0.042,0.243,-0.617,-0.779,-1.367,-2.05,2
-0.328,1.063,-0.62,0.551,0.68,4.234,3.477,5
-0.236,0.208,-0.131,-0.39,-0.162,1.627,1.931,0
-0.462,1.015,-0.215,-0.305,-0.4,1.457,1.841,0
-0.395,1.129,-0.393,-0.202,-0.588,-1.648,-1.295,2
0.243,0.214,0.159,1.255,1.253,2.187,1.594,4
-0.283,-0.373,-0.126,0.329,0.106,1.318,2.056,0
0.193,0.147,-0.423,-0.672,-0.978,-2.502,-2.322,2
-0.569,-0.034,0.301,-0.049,0.153,2.154,1.878,0
-0.144,0.37,-0.304,1.111,0.934,2.736,2.879,5
0.016,0.132,0.301,0.64,0.73,2.783,1.722,4
-0.493,-0.463,0.501,0.065,-0.672,2.283,0.672,1
-0.044,-0.129,0.14,0.817,0.66,1.957,1.086,4
0.132,-0.056,-0.454,-0.875,-1.473,-1.489,-1.851,2
-0.162,0.079,-0.558,-0.203,-0.154,1.777,0.936,0
0.506,0.178,0.033,-0.139,0.158,-1.375,-1.596,2
-0.254,-0.003,0.476,1.106,1.058,2.87,3.311,5
0.175,0.37,0.49,1.098,1.313,2.142,2.753,5
-0.071,-0.181,-0.019,-0.395,-0.743,-1.834,-1.658,2
